wl,sci,sce
380,0.00000000,21.50000000
385,0.00000000,26.99000000
390,0.00000000,34.02000000
395,0.00000000,39.51000000
400,0.00000000,43.43000000
405,0.00000000,44.91000000
410,0.00000000,45.58000000
415,0.00000000,45.90000000
420,0.00000000,46.18000000
425,0.00000000,46.19000000
430,0.00000000,45.73000000
435,0.00000000,45.08000000
440,0.00000000,44.51000000
445,0.00000000,44.26000000
450,0.00000000,43.90000000
455,0.00000000,43.28000000
460,0.00000000,42.23000000
465,0.00000000,40.96000000
470,0.00000000,39.67000000
475,0.00000000,38.93000000
480,0.00000000,38.12000000
485,0.00000000,37.10000000
490,0.00000000,35.92000000
495,0.00000000,34.49000000
500,0.00000000,32.75000000
505,0.00000000,30.61000000
510,0.00000000,28.32000000
515,0.00000000,26.15000000
520,0.00000000,24.28000000
525,0.00000000,22.84000000
530,0.00000000,21.91000000
535,0.00000000,21.53000000
540,0.00000000,21.56000000
545,0.00000000,21.42000000
550,0.00000000,20.75000000
555,0.00000000,20.28000000
560,0.00000000,20.26000000
565,0.00000000,20.68000000
570,0.00000000,21.45000000
575,0.00000000,22.38000000
580,0.00000000,23.18000000
585,0.00000000,23.79000000
590,0.00000000,24.19000000
595,0.00000000,24.68000000
600,0.00000000,25.16000000
605,0.00000000,25.26000000
610,0.00000000,24.99000000
615,0.00000000,24.92000000
620,0.00000000,25.27000000
625,0.00000000,26.07000000
630,0.00000000,27.44000000
635,0.00000000,29.67000000
640,0.00000000,32.64000000
645,0.00000000,36.21000000
650,0.00000000,40.10000000
655,0.00000000,43.93000000
660,0.00000000,47.29000000
665,0.00000000,49.90000000
670,0.00000000,52.05000000
675,0.00000000,53.57000000
680,0.00000000,54.65000000
685,0.00000000,55.46000000
690,0.00000000,56.21000000
695,0.00000000,56.63000000
700,0.00000000,57.08000000
705,0.00000000,57.65000000
710,0.00000000,57.92000000
715,0.00000000,58.32000000
720,0.00000000,58.57000000
725,0.00000000,58.57000000
730,0.00000000,58.57000000
735,0.00000000,58.57000000
740,0.00000000,58.57000000
745,0.00000000,58.57000000
750,0.00000000,58.57000000
755,0.00000000,58.57000000
760,0.00000000,58.57000000
765,0.00000000,58.57000000
770,0.00000000,58.57000000
775,0.00000000,58.57000000
